audio_path,feature_path,fold
data\split_audio\blues\blues.00013_2.wav,data/train_features//blues.00013_2.pickle,3
data\split_audio\blues\blues.00013_3.wav,data/train_features//blues.00013_3.pickle,3
data\split_audio\blues\blues.00013_4.wav,data/train_features//blues.00013_4.pickle,3
data\split_audio\blues\blues.00013_5.wav,data/train_features//blues.00013_5.pickle,3
data\split_audio\blues\blues.00014_0.wav,data/train_features//blues.00014_0.pickle,1
data\split_audio\blues\blues.00014_1.wav,data/train_features//blues.00014_1.pickle,1
data\split_audio\blues\blues.00014_2.wav,data/train_features//blues.00014_2.pickle,1
data\split_audio\blues\blues.00014_3.wav,data/train_features//blues.00014_3.pickle,1
data\split_audio\blues\blues.00014_4.wav,data/train_features//blues.00014_4.pickle,1
data\split_audio\blues\blues.00014_5.wav,data/train_features//blues.00014_5.pickle,1
data\split_audio\blues\blues.00015_0.wav,data/train_features//blues.00015_0.pickle,3
data\split_audio\blues\blues.00015_1.wav,data/train_features//blues.00015_1.pickle,3
data\split_audio\blues\blues.00015_2.wav,data/train_features//blues.00015_2.pickle,3
data\split_audio\blues\blues.00015_3.wav,data/train_features//blues.00015_3.pickle,3
data\split_audio\blues\blues.00015_4.wav,data/train_features//blues.00015_4.pickle,3
data\split_audio\blues\blues.00015_5.wav,data/train_features//blues.00015_5.pickle,3
data\split_audio\blues\blues.00016_0.wav,data/train_features//blues.00016_0.pickle,0
data\split_audio\blues\blues.00016_1.wav,data/train_features//blues.00016_1.pickle,0
data\split_audio\blues\blues.00016_2.wav,data/train_features//blues.00016_2.pickle,0
data\split_audio\blues\blues.00016_3.wav,data/train_features//blues.00016_3.pickle,0
data\split_audio\blues\blues.00016_4.wav,data/train_features//blues.00016_4.pickle,0
data\split_audio\blues\blues.00016_5.wav,data/train_features//blues.00016_5.pickle,0
data\split_audio\blues\blues.00017_0.wav,data/train_features//blues.00017_0.pickle,0
data\split_audio\blues\blues.00017_1.wav,data/train_features//blues.00017_1.pickle,0
data\split_audio\blues\blues.00017_2.wav,data/train_features//blues.00017_2.pickle,0
data\split_audio\blues\blues.00017_3.wav,data/train_features//blues.00017_3.pickle,0
data\split_audio\blues\blues.00017_4.wav,data/train_features//blues.00017_4.pickle,0
data\split_audio\blues\blues.00017_5.wav,data/train_features//blues.00017_5.pickle,0
data\split_audio\blues\blues.00018_0.wav,data/train_features//blues.00018_0.pickle,0
data\split_audio\blues\blues.00018_1.wav,data/train_features//blues.00018_1.pickle,0
data\split_audio\blues\blues.00018_2.wav,data/train_features//blues.00018_2.pickle,0
data\split_audio\blues\blues.00018_3.wav,data/train_features//blues.00018_3.pickle,0
data\split_audio\blues\blues.00018_4.wav,data/train_features//blues.00018_4.pickle,0
data\split_audio\blues\blues.00018_5.wav,data/train_features//blues.00018_5.pickle,0
data\split_audio\blues\blues.00019_0.wav,data/train_features//blues.00019_0.pickle,4
data\split_audio\blues\blues.00019_1.wav,data/train_features//blues.00019_1.pickle,4
data\split_audio\blues\blues.00019_2.wav,data/train_features//blues.00019_2.pickle,4
data\split_audio\blues\blues.00019_3.wav,data/train_features//blues.00019_3.pickle,4
data\split_audio\blues\blues.00019_4.wav,data/train_features//blues.00019_4.pickle,4
data\split_audio\blues\blues.00019_5.wav,data/train_features//blues.00019_5.pickle,4
data\split_audio\blues\blues.00020_0.wav,data/train_features//blues.00020_0.pickle,2
data\split_audio\blues\blues.00020_1.wav,data/train_features//blues.00020_1.pickle,2
data\split_audio\blues\blues.00020_2.wav,data/train_features//blues.00020_2.pickle,2
data\split_audio\blues\blues.00020_3.wav,data/train_features//blues.00020_3.pickle,2
data\split_audio\blues\blues.00020_4.wav,data/train_features//blues.00020_4.pickle,2
data\split_audio\blues\blues.00020_5.wav,data/train_features//blues.00020_5.pickle,2
data\split_audio\blues\blues.00021_0.wav,data/train_features//blues.00021_0.pickle,4
data\split_audio\blues\blues.00021_1.wav,data/train_features//blues.00021_1.pickle,4
data\split_audio\blues\blues.00021_2.wav,data/train_features//blues.00021_2.pickle,4
data\split_audio\blues\blues.00021_3.wav,data/train_features//blues.00021_3.pickle,4
data\split_audio\blues\blues.00021_4.wav,data/train_features//blues.00021_4.pickle,4
data\split_audio\blues\blues.00021_5.wav,data/train_features//blues.00021_5.pickle,4
data\split_audio\blues\blues.00023_0.wav,data/train_features//blues.00023_0.pickle,2
data\split_audio\blues\blues.00023_1.wav,data/train_features//blues.00023_1.pickle,2
data\split_audio\blues\blues.00023_2.wav,data/train_features//blues.00023_2.pickle,2
data\split_audio\blues\blues.00023_3.wav,data/train_features//blues.00023_3.pickle,2
data\split_audio\blues\blues.00023_4.wav,data/train_features//blues.00023_4.pickle,2
data\split_audio\blues\blues.00023_5.wav,data/train_features//blues.00023_5.pickle,2
data\split_audio\blues\blues.00024_0.wav,data/train_features//blues.00024_0.pickle,1
data\split_audio\blues\blues.00024_1.wav,data/train_features//blues.00024_1.pickle,1
data\split_audio\blues\blues.00024_2.wav,data/train_features//blues.00024_2.pickle,1
data\split_audio\blues\blues.00024_3.wav,data/train_features//blues.00024_3.pickle,1
data\split_audio\blues\blues.00024_4.wav,data/train_features//blues.00024_4.pickle,1
data\split_audio\blues\blues.00024_5.wav,data/train_features//blues.00024_5.pickle,1
data\split_audio\blues\blues.00025_0.wav,data/train_features//blues.00025_0.pickle,0
data\split_audio\blues\blues.00025_1.wav,data/train_features//blues.00025_1.pickle,0
data\split_audio\blues\blues.00025_2.wav,data/train_features//blues.00025_2.pickle,0
data\split_audio\blues\blues.00025_3.wav,data/train_features//blues.00025_3.pickle,0
data\split_audio\blues\blues.00025_4.wav,data/train_features//blues.00025_4.pickle,0
data\split_audio\blues\blues.00025_5.wav,data/train_features//blues.00025_5.pickle,0
data\split_audio\blues\blues.00027_0.wav,data/train_features//blues.00027_0.pickle,2
data\split_audio\blues\blues.00027_1.wav,data/train_features//blues.00027_1.pickle,2
data\split_audio\blues\blues.00027_2.wav,data/train_features//blues.00027_2.pickle,2
data\split_audio\blues\blues.00027_3.wav,data/train_features//blues.00027_3.pickle,2
data\split_audio\blues\blues.00027_4.wav,data/train_features//blues.00027_4.pickle,2
data\split_audio\blues\blues.00027_5.wav,data/train_features//blues.00027_5.pickle,2
data\split_audio\blues\blues.00028_0.wav,data/train_features//blues.00028_0.pickle,1
data\split_audio\blues\blues.00028_1.wav,data/train_features//blues.00028_1.pickle,1
data\split_audio\blues\blues.00028_2.wav,data/train_features//blues.00028_2.pickle,1
data\split_audio\blues\blues.00028_3.wav,data/train_features//blues.00028_3.pickle,1
data\split_audio\blues\blues.00028_4.wav,data/train_features//blues.00028_4.pickle,1
data\split_audio\blues\blues.00028_5.wav,data/train_features//blues.00028_5.pickle,1
data\split_audio\blues\blues.00029_0.wav,data/train_features//blues.00029_0.pickle,0
data\split_audio\blues\blues.00029_1.wav,data/train_features//blues.00029_1.pickle,0
data\split_audio\blues\blues.00029_2.wav,data/train_features//blues.00029_2.pickle,0
data\split_audio\blues\blues.00029_3.wav,data/train_features//blues.00029_3.pickle,0
data\split_audio\blues\blues.00029_4.wav,data/train_features//blues.00029_4.pickle,0
data\split_audio\blues\blues.00029_5.wav,data/train_features//blues.00029_5.pickle,0
data\split_audio\blues\blues.00030_0.wav,data/train_features//blues.00030_0.pickle,1
data\split_audio\blues\blues.00030_1.wav,data/train_features//blues.00030_1.pickle,1
data\split_audio\blues\blues.00030_2.wav,data/train_features//blues.00030_2.pickle,1
data\split_audio\blues\blues.00030_3.wav,data/train_features//blues.00030_3.pickle,1
data\split_audio\blues\blues.00030_4.wav,data/train_features//blues.00030_4.pickle,1
data\split_audio\blues\blues.00030_5.wav,data/train_features//blues.00030_5.pickle,1
data\split_audio\blues\blues.00031_0.wav,data/train_features//blues.00031_0.pickle,1
data\split_audio\blues\blues.00031_1.wav,data/train_features//blues.00031_1.pickle,1
data\split_audio\blues\blues.00031_2.wav,data/train_features//blues.00031_2.pickle,1
data\split_audio\blues\blues.00031_3.wav,data/train_features//blues.00031_3.pickle,1
data\split_audio\blues\blues.00031_4.wav,data/train_features//blues.00031_4.pickle,1
data\split_audio\blues\blues.00031_5.wav,data/train_features//blues.00031_5.pickle,1
data\split_audio\blues\blues.00032_0.wav,data/train_features//blues.00032_0.pickle,3
data\split_audio\blues\blues.00032_1.wav,data/train_features//blues.00032_1.pickle,3
data\split_audio\blues\blues.00032_2.wav,data/train_features//blues.00032_2.pickle,3
data\split_audio\blues\blues.00032_3.wav,data/train_features//blues.00032_3.pickle,3
data\split_audio\blues\blues.00032_4.wav,data/train_features//blues.00032_4.pickle,3
data\split_audio\blues\blues.00032_5.wav,data/train_features//blues.00032_5.pickle,3
data\split_audio\blues\blues.00033_0.wav,data/train_features//blues.00033_0.pickle,4
data\split_audio\blues\blues.00033_1.wav,data/train_features//blues.00033_1.pickle,4
data\split_audio\blues\blues.00033_2.wav,data/train_features//blues.00033_2.pickle,4
data\split_audio\blues\blues.00033_3.wav,data/train_features//blues.00033_3.pickle,4
data\split_audio\blues\blues.00033_4.wav,data/train_features//blues.00033_4.pickle,4
data\split_audio\blues\blues.00033_5.wav,data/train_features//blues.00033_5.pickle,4
data\split_audio\blues\blues.00034_0.wav,data/train_features//blues.00034_0.pickle,1
data\split_audio\blues\blues.00034_1.wav,data/train_features//blues.00034_1.pickle,1
data\split_audio\blues\blues.00034_2.wav,data/train_features//blues.00034_2.pickle,1
data\split_audio\blues\blues.00034_3.wav,data/train_features//blues.00034_3.pickle,1
data\split_audio\blues\blues.00034_4.wav,data/train_features//blues.00034_4.pickle,1
data\split_audio\blues\blues.00034_5.wav,data/train_features//blues.00034_5.pickle,1
data\split_audio\blues\blues.00035_0.wav,data/train_features//blues.00035_0.pickle,2
data\split_audio\blues\blues.00035_1.wav,data/train_features//blues.00035_1.pickle,2
data\split_audio\blues\blues.00035_2.wav,data/train_features//blues.00035_2.pickle,2
data\split_audio\blues\blues.00035_3.wav,data/train_features//blues.00035_3.pickle,2
data\split_audio\blues\blues.00035_4.wav,data/train_features//blues.00035_4.pickle,2
data\split_audio\blues\blues.00035_5.wav,data/train_features//blues.00035_5.pickle,2
data\split_audio\blues\blues.00036_0.wav,data/train_features//blues.00036_0.pickle,3
data\split_audio\blues\blues.00036_1.wav,data/train_features//blues.00036_1.pickle,3
data\split_audio\blues\blues.00036_2.wav,data/train_features//blues.00036_2.pickle,3
data\split_audio\blues\blues.00036_3.wav,data/train_features//blues.00036_3.pickle,3
data\split_audio\blues\blues.00036_4.wav,data/train_features//blues.00036_4.pickle,3
data\split_audio\blues\blues.00036_5.wav,data/train_features//blues.00036_5.pickle,3
data\split_audio\blues\blues.00037_0.wav,data/train_features//blues.00037_0.pickle,0
data\split_audio\blues\blues.00037_1.wav,data/train_features//blues.00037_1.pickle,0
data\split_audio\blues\blues.00037_2.wav,data/train_features//blues.00037_2.pickle,0
data\split_audio\blues\blues.00037_3.wav,data/train_features//blues.00037_3.pickle,0
data\split_audio\blues\blues.00037_4.wav,data/train_features//blues.00037_4.pickle,0
data\split_audio\blues\blues.00037_5.wav,data/train_features//blues.00037_5.pickle,0
data\split_audio\blues\blues.00038_0.wav,data/train_features//blues.00038_0.pickle,1
data\split_audio\blues\blues.00038_1.wav,data/train_features//blues.00038_1.pickle,1
data\split_audio\blues\blues.00038_2.wav,data/train_features//blues.00038_2.pickle,1
data\split_audio\blues\blues.00038_3.wav,data/train_features//blues.00038_3.pickle,1
data\split_audio\blues\blues.00038_4.wav,data/train_features//blues.00038_4.pickle,1
data\split_audio\blues\blues.00038_5.wav,data/train_features//blues.00038_5.pickle,1
data\split_audio\blues\blues.00039_0.wav,data/train_features//blues.00039_0.pickle,1
data\split_audio\blues\blues.00039_1.wav,data/train_features//blues.00039_1.pickle,1
data\split_audio\blues\blues.00039_2.wav,data/train_features//blues.00039_2.pickle,1
data\split_audio\blues\blues.00039_3.wav,data/train_features//blues.00039_3.pickle,1
data\split_audio\blues\blues.00039_4.wav,data/train_features//blues.00039_4.pickle,1
data\split_audio\blues\blues.00039_5.wav,data/train_features//blues.00039_5.pickle,1
data\split_audio\blues\blues.00040_0.wav,data/train_features//blues.00040_0.pickle,4
data\split_audio\blues\blues.00040_1.wav,data/train_features//blues.00040_1.pickle,4
data\split_audio\blues\blues.00040_2.wav,data/train_features//blues.00040_2.pickle,4
data\split_audio\blues\blues.00040_3.wav,data/train_features//blues.00040_3.pickle,4
data\split_audio\blues\blues.00040_4.wav,data/train_features//blues.00040_4.pickle,4
data\split_audio\blues\blues.00040_5.wav,data/train_features//blues.00040_5.pickle,4
data\split_audio\blues\blues.00041_0.wav,data/train_features//blues.00041_0.pickle,2
data\split_audio\blues\blues.00041_1.wav,data/train_features//blues.00041_1.pickle,2
data\split_audio\blues\blues.00041_2.wav,data/train_features//blues.00041_2.pickle,2
data\split_audio\blues\blues.00041_3.wav,data/train_features//blues.00041_3.pickle,2
data\split_audio\blues\blues.00041_4.wav,data/train_features//blues.00041_4.pickle,2
data\split_audio\blues\blues.00041_5.wav,data/train_features//blues.00041_5.pickle,2
data\split_audio\blues\blues.00042_0.wav,data/train_features//blues.00042_0.pickle,3
data\split_audio\blues\blues.00042_1.wav,data/train_features//blues.00042_1.pickle,3
data\split_audio\blues\blues.00042_2.wav,data/train_features//blues.00042_2.pickle,3
data\split_audio\blues\blues.00042_3.wav,data/train_features//blues.00042_3.pickle,3
data\split_audio\blues\blues.00042_4.wav,data/train_features//blues.00042_4.pickle,3
data\split_audio\blues\blues.00042_5.wav,data/train_features//blues.00042_5.pickle,3
data\split_audio\blues\blues.00043_0.wav,data/train_features//blues.00043_0.pickle,4
data\split_audio\blues\blues.00043_1.wav,data/train_features//blues.00043_1.pickle,4
data\split_audio\blues\blues.00043_2.wav,data/train_features//blues.00043_2.pickle,4
data\split_audio\blues\blues.00043_3.wav,data/train_features//blues.00043_3.pickle,4
data\split_audio\blues\blues.00043_4.wav,data/train_features//blues.00043_4.pickle,4
data\split_audio\blues\blues.00043_5.wav,data/train_features//blues.00043_5.pickle,4
data\split_audio\blues\blues.00044_0.wav,data/train_features//blues.00044_0.pickle,0
data\split_audio\blues\blues.00044_1.wav,data/train_features//blues.00044_1.pickle,0
data\split_audio\blues\blues.00044_2.wav,data/train_features//blues.00044_2.pickle,0
data\split_audio\blues\blues.00044_3.wav,data/train_features//blues.00044_3.pickle,0
data\split_audio\blues\blues.00044_4.wav,data/train_features//blues.00044_4.pickle,0
data\split_audio\blues\blues.00044_5.wav,data/train_features//blues.00044_5.pickle,0
data\split_audio\blues\blues.00045_0.wav,data/train_features//blues.00045_0.pickle,4
data\split_audio\blues\blues.00045_1.wav,data/train_features//blues.00045_1.pickle,4
data\split_audio\blues\blues.00045_2.wav,data/train_features//blues.00045_2.pickle,4
data\split_audio\blues\blues.00045_3.wav,data/train_features//blues.00045_3.pickle,4
data\split_audio\blues\blues.00045_4.wav,data/train_features//blues.00045_4.pickle,4
data\split_audio\blues\blues.00045_5.wav,data/train_features//blues.00045_5.pickle,4
data\split_audio\blues\blues.00046_0.wav,data/train_features//blues.00046_0.pickle,1
data\split_audio\blues\blues.00046_1.wav,data/train_features//blues.00046_1.pickle,1
data\split_audio\blues\blues.00046_2.wav,data/train_features//blues.00046_2.pickle,1
data\split_audio\blues\blues.00046_3.wav,data/train_features//blues.00046_3.pickle,1
data\split_audio\blues\blues.00046_4.wav,data/train_features//blues.00046_4.pickle,1
data\split_audio\blues\blues.00046_5.wav,data/train_features//blues.00046_5.pickle,1
data\split_audio\blues\blues.00047_0.wav,data/train_features//blues.00047_0.pickle,3
data\split_audio\blues\blues.00047_1.wav,data/train_features//blues.00047_1.pickle,3
data\split_audio\blues\blues.00047_2.wav,data/train_features//blues.00047_2.pickle,3
data\split_audio\blues\blues.00047_3.wav,data/train_features//blues.00047_3.pickle,3
data\split_audio\blues\blues.00047_4.wav,data/train_features//blues.00047_4.pickle,3
data\split_audio\blues\blues.00047_5.wav,data/train_features//blues.00047_5.pickle,3
data\split_audio\blues\blues.00048_0.wav,data/train_features//blues.00048_0.pickle,1
data\split_audio\blues\blues.00048_1.wav,data/train_features//blues.00048_1.pickle,1
data\split_audio\blues\blues.00048_2.wav,data/train_features//blues.00048_2.pickle,1
data\split_audio\blues\blues.00048_3.wav,data/train_features//blues.00048_3.pickle,1
data\split_audio\blues\blues.00048_4.wav,data/train_features//blues.00048_4.pickle,1
data\split_audio\blues\blues.00048_5.wav,data/train_features//blues.00048_5.pickle,1
data\split_audio\blues\blues.00049_0.wav,data/train_features//blues.00049_0.pickle,4
data\split_audio\blues\blues.00049_1.wav,data/train_features//blues.00049_1.pickle,4
data\split_audio\blues\blues.00049_2.wav,data/train_features//blues.00049_2.pickle,4
data\split_audio\blues\blues.00049_3.wav,data/train_features//blues.00049_3.pickle,4
data\split_audio\blues\blues.00049_4.wav,data/train_features//blues.00049_4.pickle,4
data\split_audio\blues\blues.00049_5.wav,data/train_features//blues.00049_5.pickle,4
data\split_audio\blues\blues.00050_0.wav,data/train_features//blues.00050_0.pickle,3
data\split_audio\blues\blues.00050_1.wav,data/train_features//blues.00050_1.pickle,3
data\split_audio\blues\blues.00050_2.wav,data/train_features//blues.00050_2.pickle,3
data\split_audio\blues\blues.00050_3.wav,data/train_features//blues.00050_3.pickle,3
data\split_audio\blues\blues.00050_4.wav,data/train_features//blues.00050_4.pickle,3
data\split_audio\blues\blues.00050_5.wav,data/train_features//blues.00050_5.pickle,3
data\split_audio\blues\blues.00051_0.wav,data/train_features//blues.00051_0.pickle,2
data\split_audio\blues\blues.00051_1.wav,data/train_features//blues.00051_1.pickle,2
data\split_audio\blues\blues.00051_2.wav,data/train_features//blues.00051_2.pickle,2
data\split_audio\blues\blues.00051_3.wav,data/train_features//blues.00051_3.pickle,2
data\split_audio\blues\blues.00051_4.wav,data/train_features//blues.00051_4.pickle,2
data\split_audio\blues\blues.00051_5.wav,data/train_features//blues.00051_5.pickle,2
data\split_audio\blues\blues.00052_0.wav,data/train_features//blues.00052_0.pickle,1
data\split_audio\blues\blues.00052_1.wav,data/train_features//blues.00052_1.pickle,1
data\split_audio\blues\blues.00052_2.wav,data/train_features//blues.00052_2.pickle,1
data\split_audio\blues\blues.00052_3.wav,data/train_features//blues.00052_3.pickle,1
data\split_audio\blues\blues.00052_4.wav,data/train_features//blues.00052_4.pickle,1
data\split_audio\blues\blues.00052_5.wav,data/train_features//blues.00052_5.pickle,1
data\split_audio\blues\blues.00053_0.wav,data/train_features//blues.00053_0.pickle,3
data\split_audio\blues\blues.00053_1.wav,data/train_features//blues.00053_1.pickle,3
data\split_audio\blues\blues.00053_2.wav,data/train_features//blues.00053_2.pickle,3
data\split_audio\blues\blues.00053_3.wav,data/train_features//blues.00053_3.pickle,3
data\split_audio\blues\blues.00053_4.wav,data/train_features//blues.00053_4.pickle,3
data\split_audio\blues\blues.00053_5.wav,data/train_features//blues.00053_5.pickle,3
data\split_audio\blues\blues.00054_0.wav,data/train_features//blues.00054_0.pickle,1
data\split_audio\blues\blues.00054_1.wav,data/train_features//blues.00054_1.pickle,1
data\split_audio\blues\blues.00054_2.wav,data/train_features//blues.00054_2.pickle,1
data\split_audio\blues\blues.00054_3.wav,data/train_features//blues.00054_3.pickle,1
data\split_audio\blues\blues.00054_4.wav,data/train_features//blues.00054_4.pickle,1
data\split_audio\blues\blues.00054_5.wav,data/train_features//blues.00054_5.pickle,1
data\split_audio\blues\blues.00055_0.wav,data/train_features//blues.00055_0.pickle,2
data\split_audio\blues\blues.00055_1.wav,data/train_features//blues.00055_1.pickle,2
data\split_audio\blues\blues.00055_2.wav,data/train_features//blues.00055_2.pickle,2
data\split_audio\blues\blues.00055_3.wav,data/train_features//blues.00055_3.pickle,2
data\split_audio\blues\blues.00055_4.wav,data/train_features//blues.00055_4.pickle,2
data\split_audio\blues\blues.00055_5.wav,data/train_features//blues.00055_5.pickle,2
data\split_audio\blues\blues.00056_0.wav,data/train_features//blues.00056_0.pickle,2
data\split_audio\blues\blues.00056_1.wav,data/train_features//blues.00056_1.pickle,2
data\split_audio\blues\blues.00056_2.wav,data/train_features//blues.00056_2.pickle,2
data\split_audio\blues\blues.00056_3.wav,data/train_features//blues.00056_3.pickle,2
data\split_audio\blues\blues.00056_4.wav,data/train_features//blues.00056_4.pickle,2
data\split_audio\blues\blues.00056_5.wav,data/train_features//blues.00056_5.pickle,2
data\split_audio\blues\blues.00057_0.wav,data/train_features//blues.00057_0.pickle,3
data\split_audio\blues\blues.00057_1.wav,data/train_features//blues.00057_1.pickle,3
data\split_audio\blues\blues.00057_2.wav,data/train_features//blues.00057_2.pickle,3
data\split_audio\blues\blues.00057_3.wav,data/train_features//blues.00057_3.pickle,3
data\split_audio\blues\blues.00057_4.wav,data/train_features//blues.00057_4.pickle,3
data\split_audio\blues\blues.00057_5.wav,data/train_features//blues.00057_5.pickle,3
data\split_audio\blues\blues.00058_0.wav,data/train_features//blues.00058_0.pickle,3
data\split_audio\blues\blues.00058_1.wav,data/train_features//blues.00058_1.pickle,3
data\split_audio\blues\blues.00058_2.wav,data/train_features//blues.00058_2.pickle,3
data\split_audio\blues\blues.00058_3.wav,data/train_features//blues.00058_3.pickle,3
